,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
407,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447477200,,,,,,
408,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447390800,,,,,,
409,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447304400,,,,,,
410,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447218000,,,,,,
411,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447131600,,,,,,
412,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1447045200,,,,,,
413,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446958800,,,,,,
414,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446872400,,,,,,
415,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446786000,,,,,,
416,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446699600,,,,,,
417,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446613200,,,,,,
418,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446526800,,,,,,
419,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1446440400,,,,,,
420,Liquor Law Violation,Greenwood between 61st &amp; 62nd (Private Res.),11/1/15 12:22 AM,11/1/15 12:22 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00725
421,Injured Person,6031 S. Ellis (Granville-Grossman RH),11/1/15 1:12 AM,11/1/15 1:10 AM,Individual tripped and fell while walking down stairs injuring right ankle / Transported to ER by CFD EMS for evaluation and treatment,Closed,E00727
422,Liquor Law Violation,1307 E. 60th St. (New Graduate RH),11/1/15 1:01 AM,11/1/15 1:01 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00728
423,Liquor Law Violation,1005 E. 60th St. (Burton Judson RH),10/31/15 12:53 AM,10/31/15 12:53 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00719
424,Liquor Law Violation,5630 S. University (Max Palevsky RH),10/31/15 3:51 AM,10/31/15 3:51 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00720
425,Domestic Battery,5730 S. Drexel (Comer Hospital),10/31/15 12:33 PM,10/31/15 12:30 PM,Suspect struck her boyfriend with a blunt object outside of the ER and fled before arrival of police,Open,E00721
